Committee,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Target Audience,Rainplan Location,,,,,
SJU,"Warrior Welcome (for residents of V1, MKV, St. Paul's & St. Jerome's)",8/31/2019, 6:30 PM,8/31/2019, 7:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW1,N/A,,,,,
STP,"Warrior Welcome (for residents of V1, MKV, St. Paul's & St. Jerome's)",8/31/2019, 6:30 PM,8/31/2019, 7:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW1,N/A,,,,,
ON-CAMPUS,Warrior Welcome (for residents of UWP & REV),8/31/2019, 8:30 PM,8/31/2019, 9:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,ON-CAMPUS,,,,,,
ON-CAMPUS,"Warrior Welcome (for residents of V1, MKV, CLV South, Conrad Grebel & Off-Campus Students)",9/1/2019, 6:30 PM,9/1/2019, 7:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW3,,,,,,
CONRAD,"Warrior Welcome (for residents of V1, MKV, CLV South, Conrad Grebel & Off-Campus Students)",9/1/2019, 6:30 PM,9/1/2019, 7:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW3,,,,,,
OFF-CAMPUS,"Warrior Welcome (for residents of V1, MKV, CLV South, Conrad Grebel & Off-Campus Students)",9/1/2019, 6:30 PM,9/1/2019, 7:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW3,,,,,,
ON-CAMPUS,"Warrior Welcome (for residents of UWP, REV & Renison)",9/1/2019, 8:30 PM,9/1/2019, 9:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW4,,,,,,
Renison,"Warrior Welcome (for residents of UWP, REV & Renison)",9/1/2019, 8:30 PM,9/1/2019, 9:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW4,,,,,,
AHS,AHSSIE Lunch,9/2/2019,12:30 PM,9/2/2019,1:15 PM,,"At AHSSIE Lunch, you will be introduced to fellow first-years and upper year Orientation leaders in Applied Health Sciences (AHS). A catered lunch will be provided and you will have the opportunity to mingle, participate in ice breakers and get a feel of the Applied Health Sciences community. 

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some",Student Life Centre (SLC) Great Hall,AHS,N/A,,,,,
AHS,AHSSIE Welcome ,9/2/2019,1:45 PM,9/2/2019, 3:00 PM,,"AHSSIE Welcome is your official welcome to the Faculty of Applied Health Sciences (AHS), where you will learn about the Faculty of AHS, meet your Orientation team, and get to know your fellow first-year students and Orientation Leaders. You will be given an overview of the week to come and will separate into your teams to begin an exciting week of events.

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Some low lighting
Closest Inclusive & Barrier Free Washroom: Columbia Icefield (CIF)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all",Columbia Icefield (CIF) Warrior Field,AHS,Columbia Icefield (CIF) Gym 1 and 2,,,,,
AHS,P.U.L.S.E.,9/2/2019, 3:00 PM,9/2/2019, 5:00 PM,,"P.U.L.S.E. is a series of epic games and fun-filled events that will provide you with an opportunity to create community through friendly competition. PULSE will help you to enhance your relationships with your Orientation teams, program peers, and upper-year leaders.

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Some low lighting
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all",Columbia Icefield (CIF) Field 2 and 7,AHS,Columbia Icefield (CIF) Gym 1 and 2,,,,,
AHS,H.Y.P.E.,9/3/2019, 9:30 AM,9/3/2019,11:00 AM,,"At H.Y.P.E. (AKA Having Your Program Explained), you will have the opportunity to engage with upper-year students, professors, and faculty members in the Faculty of Applied Health Sciences. Academic advisors will provide important information on program requirements and will discuss some of the academic expectations for first-year students. An upper-year panel will also take place towards the end of the session and you will have the chance to ask any questions that might help ease your transition into the year. You will meet your team on the BMH Green before walking to your H.Y.P.E. session in AHS 1689 (KIN), OPT 347 (RLS), or M3 1006 (SPHHS).

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: B.C. Matthews Hall (BMH), Optometry (OPT)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some",BMH Green,AHS,KIN: AHS 1689; RLS: OPT 347; SPHHS: M3 1006,,,,,
AHS,Dean's Lunch,9/3/2019,11:00 AM,9/3/2019,12:00 PM,,"You will receive a catered lunch provided by the Applied Health Sciences (AHS) Dean's Office. You will have the opportunity to network with AHS staff and faculty and meet fellow AHS students. This is a great opportunity to meet members of the tight-knit AHS community and build connections with staff, professors, and fellow peers, who you will be getting to know over the next 4 to 5 years.

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: B.C. Matthews Hall (BMH)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some",AHS Foyer,AHS,AHS Foyer,,,,,
AHS,The AHSSIE Games,9/3/2019,12:00 PM,9/3/2019, 2:45 PM,,"The AHSSIE Games is a series of epic events where teams will have the opportunity to demonstrate their courage, leadership, and AHSSIE spirit as they participate in a number of exciting activities. You will demonstrate your AHSSIE pride while forming connections and build lasting relationships with fellow AHS students. 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Columbia Icefield (CIF)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some","Columbia Icefield (CIF) Gym 1, 2, and 3; CIF Fields 1, 2, and 7",AHS,"Columbia Icefield (CIF) Gym 1, 2, and 3",,,,,
AHS,Earn Your Frisbee,9/3/2019, 2:45 PM,9/3/2019, 5:00 PM,,"At Earn Your Frisbee, you will be taken through a series of Applied Health Sciences traditions. You will earn your coveted AHS Frisbee and officially become a member of the Applied Health Sciences community. 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Columbia Icefield (CIF)
This event will include food: NO
This event will occur outside (weather permitting): Yes, all",Columbia Icefield (CIF) Fields 3 and 7,AHS,"Columbia Icefield (CIF) Gyms 1, 2, and 3",,,,,
AHS,Mel's Breakfast,9/4/2019,11:00 AM,9/4/2019, 1:00 PM,,"Join AHS leaders and other first-year students to experience one of Waterloo's most recognizable restaurants. Mel's Diner will be providing food to the first 200 students. Drop by to enjoy the great food from this important establishment in the Waterloo community.

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: B.C. Matthews Hall (BMH)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all",BMH Green,AHS,BMH Student Lounge,,,,,
AHS,First Year BBQ,9/5/2019, 4:00 PM,9/5/2019, 7:00 PM,,"Come out to the Outback Shack located on the BMH Green right in front of B.C Matthews Hall for a BBQ lunch. This is an opportunity to reconnect with your Orientation Leaders and teammates, and to network with AHS staff and faculty. The BBQ will be open for three hours so you can stop by in between classes. 

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: B.C. Matthews Hall (BMH)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all",BMH Green,AHS,BMH Student Lounge,,,,,
AHS,AHSSIE Awards,9/6/2019, 7:00 PM,9/6/2019, 8:00 PM,,"Team awards will be handed out based on accomplishments such as best team flag, team spirit, and best props. You will have time to reflect on your Orientation experiences thus far through a recap video that will highlight memorable moments of the Week. Once awards are presented, you will be escorted to our exciting collaborative event with the faculties of Environment, Science, and Arts. 

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Some low lighting
Closest Inclusive & Barrier Free Washroom: B.C. Matthews Hall (BMH)
This event will include food: NO
This event will occur outside (weather permitting): No",AHS 1689,AHS,N/A,,,,,
AHS,Loo-chella,9/6/2019,8:00 PM,9/6/2019,1:00 AM,,"Students from across campus will get the chance to build lasting connections and channel festival vibes at Waterloo’s own Loochella! Join us on the BMH Green for an EDM concert. Not feeling the high energy? Check out our mellow activities with mocktails, DIY flower crowns, photo booths and more!  

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Some low lighting
Closest Inclusive & Barrier Free Washroom: B.C. Matthews Hall (BMH)
This event will include food: YES
This event will occur outside (weather permitting): YES",BMH Green,AHS,Student Life Centre (SLC) Great Hall,,,,,
ON-CAMPUS,WaterlooFest,9/5/2019, 4:00 PM,9/5/2019, 7:30 PM,,"
Come enjoy a taste of the Waterloo Community! The University of Waterloo and the City of Waterloo are hosting a market-style event in Uptown Waterloo, which will include live performances, buskers, food trucks (food for purchase), and business vendors. Not sure how to get to Uptown Waterloo? Orientation leaders will be guiding you by bus, train, and foot. Meet us at the Waterloo Park Ion station, Davis Centre bus stop, South Campus Hall, or B.C. Matthews Hall to start your travel to Uptown!

Event information:
Energy/Activity Level: MODERATE
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Davis Centre (DC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all
","Uptown Waterloo Square, Davis Centre, South Campus Hall, BMH, Lot E, Waterloo Park",NO ARCH,Cancelled in the event of inclement weather,,,,,
OFF-CAMPUS,WaterlooFest,9/5/2019, 4:00 PM,9/5/2019, 7:30 PM,,"
Come enjoy a taste of the Waterloo Community! The University of Waterloo and the City of Waterloo are hosting a market-style event in Uptown Waterloo, which will include live performances, buskers, food trucks (food for purchase), and business vendors. Not sure how to get to Uptown Waterloo? Orientation leaders will be guiding you by bus, train, and foot. Meet us at the Waterloo Park Ion station, Davis Centre bus stop, South Campus Hall, or B.C. Matthews Hall to start your travel to Uptown!

Event information:
Energy/Activity Level: MODERATE
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Davis Centre (DC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all
","Uptown Waterloo Square, Davis Centre, South Campus Hall, BMH, Lot E, Waterloo Park",NO ARCH,Cancelled in the event of inclement weather,,,,,
CONRAD,WaterlooFest,9/5/2019, 4:00 PM,9/5/2019, 7:30 PM,,"
Come enjoy a taste of the Waterloo Community! The University of Waterloo and the City of Waterloo are hosting a market-style event in Uptown Waterloo, which will include live performances, buskers, food trucks (food for purchase), and business vendors. Not sure how to get to Uptown Waterloo? Orientation leaders will be guiding you by bus, train, and foot. Meet us at the Waterloo Park Ion station, Davis Centre bus stop, South Campus Hall, or B.C. Matthews Hall to start your travel to Uptown!

Event information:
Energy/Activity Level: MODERATE
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Davis Centre (DC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all
","Uptown Waterloo Square, Davis Centre, South Campus Hall, BMH, Lot E, Waterloo Park",NO ARCH,Cancelled in the event of inclement weather,,,,,
Renison,WaterlooFest,9/5/2019, 4:00 PM,9/5/2019, 7:30 PM,,"
Come enjoy a taste of the Waterloo Community! The University of Waterloo and the City of Waterloo are hosting a market-style event in Uptown Waterloo, which will include live performances, buskers, food trucks (food for purchase), and business vendors. Not sure how to get to Uptown Waterloo? Orientation leaders will be guiding you by bus, train, and foot. Meet us at the Waterloo Park Ion station, Davis Centre bus stop, South Campus Hall, or B.C. Matthews Hall to start your travel to Uptown!

Event information:
Energy/Activity Level: MODERATE
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Davis Centre (DC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all
","Uptown Waterloo Square, Davis Centre, South Campus Hall, BMH, Lot E, Waterloo Park",NO ARCH,Cancelled in the event of inclement weather,,,,,
SJU,WaterlooFest,9/5/2019, 4:00 PM,9/5/2019, 7:30 PM,,"
Come enjoy a taste of the Waterloo Community! The University of Waterloo and the City of Waterloo are hosting a market-style event in Uptown Waterloo, which will include live performances, buskers, food trucks (food for purchase), and business vendors. Not sure how to get to Uptown Waterloo? Orientation leaders will be guiding you by bus, train, and foot. Meet us at the Waterloo Park Ion station, Davis Centre bus stop, South Campus Hall, or B.C. Matthews Hall to start your travel to Uptown!

Event information:
Energy/Activity Level: MODERATE
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Davis Centre (DC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all
","Uptown Waterloo Square, Davis Centre, South Campus Hall, BMH, Lot E, Waterloo Park",NO ARCH,Cancelled in the event of inclement weather,,,,,
STP,WaterlooFest,9/5/2019, 4:00 PM,9/5/2019, 7:30 PM,,"
Come enjoy a taste of the Waterloo Community! The University of Waterloo and the City of Waterloo are hosting a market-style event in Uptown Waterloo, which will include live performances, buskers, food trucks (food for purchase), and business vendors. Not sure how to get to Uptown Waterloo? Orientation leaders will be guiding you by bus, train, and foot. Meet us at the Waterloo Park Ion station, Davis Centre bus stop, South Campus Hall, or B.C. Matthews Hall to start your travel to Uptown!

Event information:
Energy/Activity Level: MODERATE
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Davis Centre (DC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all
","Uptown Waterloo Square, Davis Centre, South Campus Hall, BMH, Lot E, Waterloo Park",NO ARCH,Cancelled in the event of inclement weather,,,,,
ON-CAMPUS,Move In,8/31/2019, 6:15 AM,9/31/2019, 4:15 PM,,"Students and staff from UWaterloo will come together in assisting you with moving into your new home. UWaterloo is a diverse and fun community of students and by the end of the move-ins, we hope that you feel a part of this amazing community!

Note: Please move in on your assigned move in date as outlined by your residence contract

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
",All residences,NO ARCH,n/a,,,,,
ON-CAMPUS,Move In,9/1/2019, 6:15 AM,9/1/2019, 4:15 PM,,"Students and staff from UWaterloo will come together in assisting you with moving into your new home. UWaterloo is a diverse and fun community of students and by the end of the move-ins, we hope that you feel a part of this amazing community!

Note: Please move in on your assigned move in date as outlined by your residence contract

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
",All residences,NO ARCH,n/a,,,,,
